question_id,question,options__001,options__002,options__003,options__004,correct_option
1,Which of the following is not a type of information retrieval system?,Boolean retrieval model,Vector space model,Sequential search model,Probabilistic retrieval model,2
2,What does the term 'TF-IDF' stand for in IR?,Term Frequency-Inverse Document Frequency,Text Format-Indexed Data Field,Time Frame-Information Delivery Format,Total Frequency-Digital Filter,0
3,Which algorithm is commonly used for document clustering in IR?,K-means,Breadth-first search,Depth-first search,Dijkstra's algorithm,0
4,What is the purpose of stemming in text processing?,To remove stop words,To convert words to lowercase,To reduce inflected or derived words to their base form,To identify synonyms,2
5,Which evaluation metric is used to measure the effectiveness of an IR system by considering relevant documents retrieved at different ranks?,Precision,Recall,F1-score,Mean Average Precision,3
6,What is the primary goal of relevance feedback in IR?,To improve search query performance,To reduce index size,To increase recall at the expense of precision,To remove irrelevant documents from the index,0
7,Which data structure is commonly used to implement an inverted index in IR?,Binary search tree,Linked list,Hash table,Heap,2
8,What is the purpose of a relevance ranking algorithm in IR?,To sort documents by their relevance to a query,To calculate the frequency of terms in a document,To perform clustering on retrieved documents,To generate summaries of retrieved documents,0
9,Which IR model is based on the assumption that documents are represented as vectors in a multi-dimensional space?,Boolean retrieval model,Vector space model,Probabilistic retrieval model,Language model,1
10,What does the term 'precision' measure in IR?,The number of relevant documents retrieved,The ratio of relevant documents retrieved to the total number of relevant documents,The ratio of relevant documents retrieved to the total number of retrieved documents,The effectiveness of relevance feedback,2
11,Which of the following is a technique for query expansion in IR?,Stemming,Stopword removal,Synonym substitution,Normalization,2
12,What is the purpose of term weighting in IR?,To assign weights to terms based on their frequency in a document,To remove noisy terms from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
13,Which IR model is based on the assumption that users interact with a system by providing feedback on the relevance of retrieved documents?,Boolean retrieval model,Vector space model,Probabilistic retrieval model,Language model,3
14,What is the purpose of term frequency normalization in IR?,To assign weights to terms based on their frequency in a document,To calculate the probability of a term occurring in a document,To adjust the term frequency based on the length of the document,To remove noisy terms from the index,2
15,Which evaluation metric in IR combines precision and recall into a single measure?,F1-score,Mean Average Precision,Precision at K,Recall at K,0
16,What is the primary goal of query expansion in IR?,To reduce the size of the index,To increase recall by adding more terms to the query,To remove noisy terms from the index,To generate summaries of retrieved documents,1
17,Which evaluation metric in IR measures the proportion of relevant documents that were retrieved out of all relevant documents?,Precision,Recall,F1-score,Mean Average Precision,1
18,Which of the following is an example of a term weighting scheme in IR?,Binary weighting,Logarithmic weighting,Boolean weighting,Linear weighting,1
19,What is the purpose of document clustering in IR?,To organize documents into hierarchical structures,To remove duplicate documents from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
20,Which of the following is a drawback of the Boolean retrieval model in IR?,Difficulty in handling synonymy,Difficulty in handling word order,Difficulty in handling term weighting,Difficulty in handling stop words,0
21,What is the purpose of stopword removal in IR?,To reduce the size of the index,To remove noisy terms from the index,To assign weights to terms based on their frequency in a document,To adjust the term frequency based on the length of the document,0
22,Which of the following is an advantage of the vector space model in IR?,It can handle large document collections efficiently,It can handle synonymy and polysemy effectively,It can handle word order effectively,It can handle Boolean queries efficiently,1
23,What is the purpose of normalization in IR?,To reduce the size of the index,To remove duplicate documents from the index,To convert words to lowercase,To adjust the term frequency based on the length of the document,3
24,Which of the following is a limitation of the vector space model in IR?,Difficulty in handling word order,Difficulty in handling term weighting,Difficulty in handling synonymy,Difficulty in handling stop words,0
25,What is the primary goal of stemming in IR?,To remove stop words,To convert words to lowercase,To reduce inflected or derived words to their base form,To identify synonyms,2
26,Which evaluation metric in IR measures the usefulness of the retrieved documents?,Precision,Recall,F1-score,Mean Average Precision,0
27,What is the purpose of term frequency-inverse document frequency (TF-IDF) in IR?,To calculate the probability of a term occurring in a document,To assign weights to terms based on their frequency in a document,To adjust the term frequency based on the length of the document,To remove noisy terms from the index,1
28,Which IR model is based on the assumption that documents are generated by a probabilistic process?,Boolean retrieval model,Vector space model,Probabilistic retrieval model,Language model,2
29,What is the purpose of a stop word list in IR?,To remove stop words from documents,To generate summaries of documents,To calculate the cosine similarity between documents,To perform clustering on retrieved documents,0
30,Which evaluation metric in IR measures the ratio of relevant documents retrieved to the total number of relevant documents?,Precision,Recall,F1-score,Mean Average Precision,0
31,Which of the following is a technique for relevance feedback in IR?,Stemming,Query expansion,Stopword removal,Normalization,1
32,What is the purpose of smoothing in language modeling for IR?,To assign weights to terms based on their frequency in a document,To adjust the term frequency based on the length of the document,To handle unseen terms in the query-document language model,To remove noisy terms from the index,2
33,Which of the following is a characteristic of the probabilistic retrieval model in IR?,It assumes that documents are generated by a probabilistic process,It represents documents and queries as vectors in a multi-dimensional space,It handles term weighting based on the frequency of terms in documents,It uses the Jaccard coefficient to measure similarity between documents,0
34,What is the primary goal of term weighting schemes in IR?,To assign weights to terms based on their frequency in a document,To remove noisy terms from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
35,Which of the following is an advantage of the language model in IR?,It can handle large document collections efficiently,It can handle synonymy and polysemy effectively,It can handle word order effectively,It can handle Boolean queries efficiently,2
36,What is the purpose of document ranking in IR?,To organize documents into hierarchical structures,To assign weights to terms based on their frequency in a document,To calculate the cosine similarity between documents,To sort documents by their relevance to a query,3
37,Which evaluation metric in IR measures the proportion of retrieved documents that are relevant out of all retrieved documents?,Precision,Recall,F1-score,Mean Average Precision,1
38,What is the purpose of zone scoring in IR?,To calculate the probability of a term occurring in a document,To handle term proximity in document scoring,To remove noisy terms from the index,To generate summaries of documents,1
39,Which of the following is a limitation of the language model in IR?,Difficulty in handling word order,Difficulty in handling term weighting,Difficulty in handling synonymy,Difficulty in handling stop words,0
40,What is the primary goal of query processing in IR?,To reduce the size of the index,To remove duplicate documents from the index,To convert words to lowercase,To retrieve relevant documents based on a user query,3
41,Which of the following is a technique for query expansion in IR?,Stemming,Stopword removal,Synonym substitution,Normalization,2
42,What is the primary goal of term weighting in IR?,To assign weights to terms based on their frequency in a document,To remove noisy terms from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
43,Which IR model is based on the assumption that users interact with a system by providing feedback on the relevance of retrieved documents?,Boolean retrieval model,Vector space model,Probabilistic retrieval model,Language model,3
44,What is the purpose of term frequency normalization in IR?,To assign weights to terms based on their frequency in a document,To calculate the probability of a term occurring in a document,To adjust the term frequency based on the length of the document,To remove noisy terms from the index,2
45,Which evaluation metric in IR combines precision and recall into a single measure?,F1-score,Mean Average Precision,Precision at K,Recall at K,0
46,What is the primary goal of query expansion in IR?,To reduce the size of the index,To increase recall by adding more terms to the query,To remove noisy terms from the index,To generate summaries of retrieved documents,1
47,Which evaluation metric in IR measures the proportion of relevant documents that were retrieved out of all relevant documents?,Precision,Recall,F1-score,Mean Average Precision,1
48,Which of the following is an example of a term weighting scheme in IR?,Binary weighting,Logarithmic weighting,Boolean weighting,Linear weighting,1
49,What is the purpose of document clustering in IR?,To organize documents into hierarchical structures,To remove duplicate documents from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
50,Which of the following is a drawback of the Boolean retrieval model in IR?,Difficulty in handling synonymy,Difficulty in handling word order,Difficulty in handling term weighting,Difficulty in handling stop words,0
51,Which of the following is not a similarity measure used in IR?,Euclidean distance,Jaccard coefficient,Cosine similarity,Hamming distance,3
52,What is the primary goal of relevance feedback in IR?,To improve the accuracy of document clustering,To refine search results based on user feedback,To calculate the precision of retrieval algorithms,To generate summaries of retrieved documents,1
53,Which of the following is a limitation of the vector space model in IR?,Difficulty in handling large-scale datasets,Difficulty in handling complex queries,Difficulty in handling term frequency normalization,Difficulty in handling synonymy,0
54,What is the purpose of inverse document frequency (IDF) in IR?,To assign weights to terms based on their frequency in a document,To calculate the probability of a term occurring in a document,To adjust the term frequency based on the length of the document,To measure the rarity of a term in a document collection,3
55,Which of the following is a pre-processing step in IR?,Stemming,Query expansion,Relevance feedback,Clustering,0
56,What is the primary goal of information retrieval?,To retrieve relevant information from a document collection,To index documents for efficient search,To generate summaries of retrieved documents,To analyze the structure of a document collection,0
57,Which of the following is an advantage of the probabilistic retrieval model in IR?,Ability to handle large-scale datasets,Ability to handle complex queries,Ability to handle term frequency normalization,Ability to handle word order,0
58,What is the primary goal of term weighting in IR?,To assign weights to terms based on their frequency in a document,To remove noisy terms from the index,To calculate the cosine similarity between documents,To generate summaries of documents,0
59,Which evaluation metric in IR combines precision and recall into a single measure?,F1-score,Mean Average Precision,Precision at K,Recall at K,0
60,What is the primary goal of query expansion in IR?,To reduce the size of the index,To increase recall by adding more terms to the query,To remove noisy terms from the index,To generate summaries of retrieved documents,1
61,Which of the following is a drawback of the term frequency-inverse document frequency (TF-IDF) weighting scheme?,Difficulty in handling word order,Difficulty in handling large-scale datasets,Difficulty in handling synonymy,Difficulty in handling short documents,3
62,What is the primary challenge in designing an effective search engine?,Indexing web pages efficiently,Optimizing ranking algorithms,Balancing precision and recall,Dealing with dynamic content,2
63,Which of the following techniques is used for query expansion in IR?,Latent Semantic Analysis (LSA),K-nearest neighbors (KNN),Principal Component Analysis (PCA),Naive Bayes,0
64,What is the primary goal of relevance ranking in IR?,To rank documents based on their relevance to the query,To remove irrelevant documents from the index,To calculate the precision of retrieval algorithms,To generate summaries of retrieved documents,0
65,Which of the following is a characteristic of a good information retrieval system?,High precision and low recall,Low precision and high recall,High precision and high recall,Low precision and low recall,2
66,What is the primary goal of term frequency normalization in IR?,To assign weights to terms based on their frequency in a document,To calculate the cosine similarity between documents,To adjust the term frequency based on the length of the document,To measure the rarity of a term in a document collection,2
